"","school","athlete","class"
"1","Oral Roberts","Abraham Chelangam","JR"
"2","Iowa State","Robin Kwemoi Bera","SO"
"3","Iowa State","Joash Ruto","SO"
"4","Iowa State","Sanele Masondo","SR"
"5","Oklahoma","Thobias Cheruiyot","SO"
"6","Iowa State","Rodgers Kiplimo","JR"
"7","Bradley","Jayde Rosslee","JR"
"8","DePaul","Mohamed Abdullahi","SO"
"9","Tulsa","Shay McEvoy","SR"
"10","South Dakota State","Cody Larson","SR"
"11","Mizzou","Drew Rogers","SR"
"12","Tulsa","Ben Brown","SO"
"13","Illinois","Joshua Daggett","SR"
"14","Wichita State","Adrian Diaz-Lopez","SR"
"15","Mizzou","Raymond Kipkoech","FR"
"16","Mizzou","Elijah Limo","FR"
"17","Loyola-Ill","Hayden Healey","SR"
"18","Mizzou","Ryder James","JR"
"19","Mizzou","Austin Popplewell","SR"
"20","Oklahoma","Evans Biwott","FR"
"21","Wichita State","Zander Cobb","SR"
"22","Oral Roberts","Andrew Smithwick","JR"
"23","Drake","Brenden Heitzig","JR"
"24","Oklahoma","Ronald Ngetich","FR"
"25","Loyola-Ill","Jake Phillips","JR"
"26","Loyola-Ill","Jason Clayton","SR"
"27","Mizzou","Tyler Freiner","SR"
"28","Kansas","Regan Kibet","FR"
"29","Loyola-Ill","Cael Mulholland","JR"
"30","Kansas","Paul Ngasharr","FR"
"31","Drake","Aidan Palmer","SR"
"32","Loyola-Ill","Yusuf Baig","SR"
"33","Wichita State","Kelvin Kipyego","SO"
"34","Ill-Chicago","Daniel Chavez","SR"
"35","Illinois","Adam Patel","FR"
"36","Ill-Chicago","Alex Bacci","SR"
"37","Iowa State","Allen Bonnessen","SO"
"38","Oklahoma State","Denis Kipngetich","SO"
"39","Wichita State","Elkana Kipruto","SO"
"40","Loyola-Ill","Nate Boutin","SO"
"41","Oklahoma","Shadrack Kiptoo","FR"
"42","Oral Roberts","Cornelius Kipkogei","JR"
"43","Loyola-Ill","Woody Jerome","JR"
"44","Oklahoma State","Laban Kipkemboi","SO"
"45","Oklahoma State","Fouad Messaoudi","SR"
"46","Oklahoma State","Brian Musau","JR"
"47","North Dakota","Matej Hrebacka","SO"
"48","Bradley","Michael Robello","SR"
"49","Bradley","Caleb Lind","SR"
"50","Iowa State","Devan Kipyego","JR"
"51","South Dakota","Isaac Ochoa","SO"
"52","Mizzou","Carter Spradling","FR"
"53","Minnesota","Aidan Jones","SO"
"54","North Dakota","Louis-Lys Fanucchi","SO"
"55","Minnesota","Aloysius Franzen","FR"
"56","Oklahoma","Hayden Gray","JR"
"57","South Dakota","Natnael Kifle","SO"
"58","Minnesota","Sam Scott","FR"
"59","South Dakota State","Cashton Johnson","SO"
"60","South Dakota State","Will Lohr","JR"
"61","Drake","Aziz JDai","SR"
"62","Tulsa","Charlie Krasnoff","JR"
"63","Tulsa","Levi Rowan","FR"
"64","Tulsa","Luke Birdseye","JR"
"65","Oklahoma","Adrian Stuphan","SR"
"66","Kansas","Tanner Talley","SR"
"67","Oklahoma State","Adisu Guadia","JR"
"68","South Dakota State","Dale Johnson","SO"
"69","North Dakota State","Jacob Knodle","JR"
"70","Minnesota","Emmet Anderson","SR"
"71","North Dakota State","Ethan Moe","SO"
"72","Wichita State","Cesar Ramirez","SR"
"73","Oral Roberts","Artwell Magake","SO"
"74","Minnesota","Jaedyn Chase","JR"
"75","South Dakota State","Jared Lutmer","FR"
"76","Minnesota","Emmett Gerres","SO"
"77","Minnesota","Leo Goodman","SR"
"78","Bradley","Oliver Burns","SO"
"79","Wichita State","Jacob Myers","JR"
"80","Oklahoma State","Jacob Deacon","SO"
"81","Wichita State","Jonah Allison","JR"
"82","Bradley","Brandon Kamp","SR"
"83","Bradley","Travis Gaffney","SO"
"84","Bradley","Jacob Trangmar","FR"
"85","Ill-Chicago","Zachary Close","SO"
"86","Lindenwood","Isaac Ndiwa","SO"
"87","Tulsa","Joseph Stoddard","JR"
"88","South Dakota State","Luke Johnson","JR"
"89","Ill-Chicago","Orlando Hernandez","JR"
"90","Ill-Chicago","Theodore Cunningham","JR"
"91","North Dakota State","William Gerber","JR"
"92","North Dakota State","Ivan Askim","SO"
"93","Nebraska","Denny Chapman","SO"
"94","Eastern Illinois","Michael Atkins","SR"
"95","Tulsa","James Knockton","SR"
"96","North Dakota","Niko Angell","JR"
"97","DePaul","John Bush","JR"
"98","Illinois","Pol Molins","FR"
